requirement_id,package,doc_summary,phase,subsets_parent,subsets_root,satisfied_by,method,level,vv_case,gate,status_at_cdr,success_criterion
R1,Requirements,The system shall operate at a nominal cruising altitude relative to ground level between 90 meters and 120 meters.,Phase1,,,,"A, T",System,"VA-01, VF-02",P1,Analysis complete · test planned,"Logged AGL altitude stays within the 90-120 m band for >= 95 percent of cruise-phase samples across >= 3 sorties, with mean deviation from commanded <= 5 m."
R10,Requirements,"Stretch Goal: survey a contiguous area of 60 acres (24.3 hectares) in a single sortie, at the R1 nominal survey altitude and the R2 survey speed with a 20 percent reserve. Requires approximately 49 minutes of usable endurance - above the R6 30-minute floor, but within the R8 60-minute stretch goal, which delivers approximately 73.2 acres. The reference build (Chimera9 ECO + 6S3P 12Ah Amprius, 58.4 min cruise) achieves approximately 71.2 acres and therefore already meets R10. Reported, not asserted - mirroring the R6 / R8 hard-versus-stretch pattern.",Phase2,,,,A,System,VA-04,CDR,Verified by analysis,"Computed contiguous covered area >= 60.0 acres (24.3 ha) at R1 altitude, R2 speed and a 20 percent reserve. Reference build (Chimera9 ECO + BAT10, 58.4 min cruise) computes ~71.2 acres."
R1_BHV_ALT_HOLD,Requirements,"The autonomous flight behavior (waypoint AUTO-mode route execution) shall hold the vehicle's actual altitude within the commanded 90-120m AGL survey band throughout the cruise phase of the sortie, correcting for wind and terrain variation.",Phase1,R1,R1,flyRoute,T,System,VF-02,P1,Planned,"In AUTO mode over terrain with >= 20 m relief, logged AGL stays within 90-120 m for >= 95 percent of cruise samples with no operator intervention."
R2,Requirements,The drone shall maintain a steady ground speed of 2.23 meters/second.,Phase1,,,,"A, T",System,"VA-01, VF-02",P1,Analysis complete · test planned,Logged ground speed holds 2.23 m/s +/- 0.25 m/s (+/- 11 percent) over >= 90 percent of cruise samples in sustained wind up to 4.5 m/s.
R2_BHV_SPEED_HOLD,Requirements,"The autonomous flight behavior (waypoint AUTO-mode route execution) shall hold the vehicle's actual ground speed at 2.23 m/s throughout the cruise phase of the sortie, correcting for sustained wind up to 4.5 m/s (R7).",Phase1,R2,R2,flyRoute,T,System,VF-02,P1,Planned,"In AUTO mode, commanded-vs-actual ground speed error stays <= 0.25 m/s RMS through a full survey leg in sustained wind up to 4.5 m/s."
R3,Requirements,"At nominal cruising altitude (90m to 120m AGL), the thermal imaging system shall enable a remote operator to detect and classify heat signatures to distinguish deer, turkey, other animals, and humans under clear daytime conditions with a minimum target-to-background temperature differential of 5°C.",Phase3,,,,"A, D, T",Field,"VA-03, VF-07, VF-08",P3,Analysis complete · demo planned,Composite requirement - closed only when both R3_1 (detect @ 120 m) and R3_2 (classify @ 90 m) pass their field demonstrations under clear daytime conditions with target-to-background dT >= 5 degC.
R3_1,Requirements,"Detection: A human operator viewing the live video feed shall be able to identify the presence of a deer-, turkey-, or human-sized heat source at 120m AGL with a confidence level of at least 90%.",Phase3,,,thermalModel,"A, D",Field,"VA-03, VF-07",P3,Analysis complete · demo planned,"Detection rate >= 90 percent over >= 50 scored target presentations at 120 m AGL (deer/turkey/human, dT >= 5 degC, clear daytime). Analysis basis: Johnson detection needs >= 1.5 px; T13 @ 18 mm yields 3.13 px on a 0.5 m target at the as-built 45 deg mount tilt (along-range axis; nadir would read 6.25 px - see model.sysml OffNadirGsd, 2026-08-12)."
R3_2,Requirements,"Classification: A human operator viewing the live video feed shall be able to correctly classify a detected heat source as deer, turkey, other animal, or human at 90m AGL with a confidence level of at least 80%.",Phase3,,,thermalModel,"A, D, T",Field,"VA-03, VF-08",P3,Analysis complete · AI test planned,"Correct 4-class classification (deer / turkey / other animal / human) >= 80 percent over >= 50 scored presentations at 90 m AGL, confusion matrix reported. Analysis basis: Johnson recognition needs >= 4 px; T13 @ 18 mm yields 4.17 px at the as-built 45 deg mount tilt (along-range axis, thin margin; nadir would read 8.33 px - see model.sysml OffNadirGsd, 2026-08-12)."
R3_CAM_COST,CameraRequirements,"The camera subsystem cost shall not exceed 720 USD. Raised from the original 600 USD cap (David, 2026-08-12) after the locked T13 selection (700 USD: 640 USD base incl. the +50 USD 18mm lens, +60 USD shipping) exceeded it by 100 USD - tracked as a ""NOT MET - waiver required"" line in analysis/requirements_traceability.csv and analysis/verification_methods.csv since the 18mm lens was selected (2026-07-29). 720 USD keeps a small margin over the as-purchased 700 USD rather than setting the cap exactly at cost. The R4 system-level $2,500 cap is unaffected and remains well clear (system total ~$1,724 per analysis/flight_time_model.py).",Phase2,R4,R4,IRCamera,I,Component,"VI-01, VA-08",CDR,Verified by inspection,"As-purchased thermal camera cost <= 720 USD (raised from 600 USD, David 2026-08-12 - restated the allocation rather than waiving it; see model.sysml R3_CAM_COST doc). ACTUAL: T13 = 700 USD (640 base incl. the +50 18 mm lens, + 60 shipping). R4 system cap still met at ~1724 USD total system."
R3_CAM_FOV,CameraRequirements,"The thermal camera shall image a continuous across-track ground swath of at least 42 meters at the 120m AGL nominal detection altitude, where swath = 2 x altitude x tan(HFOV/2). Derived from R9 (30 acres per sortie) at the R6 minimum endurance of 30 minutes, the R2 survey speed and a 20 percent reserve: 3210 m of usable track needs 37.8 m of line spacing, hence >= 42 m of swath at the 10 percent overlap required by R4_GCS_SWEEP_SPACING. The R10 / R8 stretch pair (60 acres at 60 minutes) yields the same 42 m floor, since both pairs share the same area-per-minute ratio. Verified by analysis from the camera's specified HFOV: the selected T13 at 18 mm (HFOV 24.1 degrees) yields 51.2 m, a 22 percent margin. Supersedes the former ""at least 30 degrees"" form, which stated a bare lens angle rather than the ground coverage it was intended to guarantee - and which the selected 18 mm lens failed while still meeting the coverage intent.",Phase2,R9,R9,IRCamera,A,Component,VA-03,CDR,Verified by analysis,Computed across-track ground swath = 2 x 120 m x tan(HFOV/2) >= 42 m at the 120 m detection altitude. T13 @ 18 mm (HFOV 24.1 deg) yields 51.2 m - 22 percent margin.
