"ID","Model","Type","Sensor Size","Resolution","FOV / Lens","Min Illumination (lux)","Power Draw (W)","Input Voltage (V)","Weight (g)","Output Type","Connector Type","Mounting Pattern","VTX Type Required","Compatible VTX Models","Goggle Compatibility","Price (USD)","Found In BNF/PNP","Airframe Association","Notes"
"A1","Caddx H1","Analog CMOS","1/3""","1200TVL","2.1mm lens (~100° FOV)","0.00001","0.8","4.5-25","7.4","CVBS analog","Standard analog plug (Molex picoblade 1.25mm)","Standard analog board 14x14mm","Separate analog VTX","V1-V11","Any analog goggles/receiver","15-25","GEPRC MARK4 LR7 (#1)","#1","Low-light specialist. Wide voltage range."
"A2","Caddx Ratel 2","Analog CMOS (Starlight)","1/1.8""","1200TVL","2.1mm or 2.5mm (~100°-120° FOV)","Starlight class (~0.0001 est)","0.9","5-40","8","CVBS analog","Standard analog plug","Standard analog 14x14mm","Separate analog VTX","V1-V11","Any analog goggles/receiver","25-35","N/A","N/A","Premium analog. Larger 1/1.8"" sensor = better low-light. Popular in custom LR builds."
"A3","Foxeer Predator Mini V4","Analog CMOS","1/3""","1200TVL","2.1mm (~100°)","0.001","0.7","5-40","6","CVBS analog","Standard analog plug","Standard analog 14x14mm","Separate analog VTX","V1-V11","Any analog goggles/receiver","20-30","N/A","N/A","Lightest analog option at 6g. Low 0.001lux min illumination."
"A4","Runcam Phoenix 2","Analog CMOS (StarLight)","1/2.8""","1200TVL","2.1mm (~100° WDR)","0.0001","0.9","5-36","8","CVBS analog","Standard analog plug","Standard analog 14x14mm","Separate analog VTX","V1-V11","Any analog goggles/receiver","30-40","N/A","N/A","Premium analog with WDR. Often swapped into BNFs as upgrade."
"A5","iFlight Generic Analog","Analog CMOS","1/3"" (est)","~1200TVL (est)","Standard FPV (~90-100°)","Analog class (est ~0.1-0.01)","0.7","5-20","Bundled ~7","CVBS analog","Standard analog plug","Standard analog 14x14mm","Separate analog VTX","V1-V2 (BLITZ ships with iFlight builds)","Any analog goggles/receiver","~10-15","iFlight Chimera9 ECO (#3), Chimera7 Pro V2 (#8)","#3, #8","Unnamed generic. Included with iFlight BNF/PNP builds."
"A6","EMAX Generic Analog","Analog CMOS","Unspecified","~1200TVL (est)","Standard FPV","Analog class","0.7","5-20","Bundled ~7","CVBS analog","Standard analog plug","Standard analog 14x14mm","Separate analog VTX","V4 (EMAX 2.5W included)","Any analog goggles/receiver","~15","EMAX Hawk 7 (#5)","#5","Unnamed generic. Included in EMAX Hawk 7 BNF."
"A7","Caddx Ant","Analog CMOS (Nano)","1/3""","1200TVL","1.8mm (~165° FOV)","0.01 (est)","~0.3 (60mA @ 5V est)","3.7-18","2","CVBS analog","Standard analog plug (1.0mm pitch)","14x14mm nano","Separate analog VTX","V1-V11","Any analog goggles/receiver","15-20","N/A","N/A","Ultra-light 2g nano camera. Global WDR, OSD menu. Great for weight-critical builds. 3D DNR."
"A8","Foxeer T-Rex Micro","Analog CMOS","1/3"" (2MP)","1500TVL","2.1mm (~120° FOV)","0.001 (est)","~0.5 (100mA @ 5V)","4.5-25","~7","CVBS analog","Standard analog plug","Standard analog 14x14mm","Separate analog VTX","V1-V11","Any analog goggles/receiver","20-30","N/A","N/A","1500TVL high-res. Ultra-low 2ms latency. Super WDR. Premium image quality."
"D1","DJI O4 Pro Air Unit","Integrated Digital (DJI)","1/1.3"" CMOS","4K/120fps recording, 1080p/100fps live","~110° FOV (est)","Digital class (excellent)","8-10","7.4-26.4","32 (all-in-one)","Digital HD (DJI O4 protocol)","IPEX/U.FL (dual antenna)","Integrated board with mount holes","Integrated (camera+VTX combo)","N/A (self-contained)","DJI Goggles 3 / Goggles N3 / Integra","229","DeepSpace ROC7 O4 PRO (#6), NewBeeDrone ROC7 (#10)","#6, #10","2025 release. 130Mbps. 15km range. 4GB internal + microSD."
"D2","DJI O3 Air Unit","Integrated Digital (DJI)","1/1.7"" CMOS","4K/60fps recording, 1080p/60fps live","~110° FOV (est)","Digital class","5-8","7.4-26.4","36 (all-in-one)","Digital HD (DJI O3 protocol)","IPEX (single antenna)","Integrated board","Integrated (camera+VTX combo)","N/A (self-contained)","DJI Goggles 2 / Goggles Integra / Goggles V2","149-199","Axisflying KOLAS7 BNF HD (#2d)","#2d","Prior gen. ~10km range. Good value. microSD recording."
"D3","Walksnail Avatar Pro","Integrated Digital (Walksnail)","1/1.8"" CMOS","4K/60fps recording, 1080p/60fps live","~110° FOV (est)","Digital class","5-8","7.4-26.4","~30 (all-in-one)","Digital HD (Walksnail protocol)","IPEX (single antenna)","Integrated board","Integrated (camera+VTX combo)","N/A (self-contained)","Walksnail Avatar goggles / any Walksnail VRX","250-300","Axisflying KOLAS7 BNF HD (#2d)","#2d","Open protocol. 1080p/120fps goggle mode."
