requirement_id,method,level,vv_case,gate,status_at_cdr,success_criterion
R1,"A, T",System,"VA-01, VF-02",P1,Analysis complete · test planned,"Logged AGL altitude stays within the 90-120 m band for >= 95 percent of cruise-phase samples across >= 3 sorties, with mean deviation from commanded <= 5 m."
R10,A,System,VA-04,CDR,Verified by analysis,"Computed contiguous covered area >= 60.0 acres (24.3 ha) at R1 altitude, R2 speed and a 20 percent reserve. Reference build (Chimera9 ECO + BAT10, 58.4 min cruise) computes ~71.2 acres."
R1_BHV_ALT_HOLD,T,System,VF-02,P1,Planned,"In AUTO mode over terrain with >= 20 m relief, logged AGL stays within 90-120 m for >= 95 percent of cruise samples with no operator intervention."
R2,"A, T",System,"VA-01, VF-02",P1,Analysis complete · test planned,"Logged ground speed holds 2.23 m/s +/- 0.25 m/s (+/- 11 percent) over >= 90 percent of cruise samples in sustained wind up to 4.5 m/s."
R2_BHV_SPEED_HOLD,T,System,VF-02,P1,Planned,"In AUTO mode, commanded-vs-actual ground speed error stays <= 0.25 m/s RMS through a full survey leg in sustained wind up to 4.5 m/s."
R3,"A, D, T",Field,"VA-03, VF-07, VF-08",P3,Analysis complete · demo planned,"Composite requirement - closed only when both R3_1 (detect @ 120 m) and R3_2 (classify @ 90 m) pass their field demonstrations under clear daytime conditions with target-to-background dT >= 5 degC."
R3_1,"A, D",Field,"VA-03, VF-07",P3,Analysis complete · demo planned,"Detection rate >= 90 percent over >= 50 scored target presentations at 120 m AGL (deer/turkey/human, dT >= 5 degC, clear daytime). Analysis basis: Johnson detection needs >= 1.5 px; T13 @ 18 mm yields 6.25 px on a 0.5 m target."
R3_2,"A, D, T",Field,"VA-03, VF-08",P3,Analysis complete · AI test planned,"Correct 4-class classification (deer / turkey / other animal / human) >= 80 percent over >= 50 scored presentations at 90 m AGL, confusion matrix reported. Analysis basis: Johnson recognition needs >= 4 px; T13 @ 18 mm yields 8.33 px."
R3_CAM_COST,I,Component,"VI-01, VA-08",CDR,NOT MET - waiver required,"As-purchased thermal camera cost <= 600 USD. ACTUAL: T13 = 700 USD (640 base incl. the +50 18 mm lens, + 60 shipping). Exceeds the subsystem cap by 100 USD; R4 system cap still met at ~1898 USD. Requires either a waiver or a restatement of the 600 USD allocation."
R3_CAM_FOV,A,Component,VA-03,CDR,Verified by analysis,"Computed across-track ground swath = 2 x 120 m x tan(HFOV/2) >= 42 m at the 120 m detection altitude. T13 @ 18 mm (HFOV 24.1 deg) yields 51.2 m - 22 percent margin."
R3_CAM_IF,"I, D",Component,"VI-04, VB-01",P2,Planned,"Camera enumerates on the SBC as a USB-UVC device (/dev/video0) and streams 640x512 at >= 25 Hz for >= 30 min with zero dropped-stream events."
R3_CAM_NETD,I,Component,VI-06,CDR,Verified by inspection,"Vendor datasheet / factory test report states NETD <= 50 mK at f/1.0, 25 degC ambient. T13 specified at 50 mK."
R3_CAM_PWR,T,Component,VB-01,P2,Planned,"Measured average input power <= 4.5 W over >= 30 min of continuous streaming at 25 degC ambient, logged with an inline power meter at 1 Hz."
R3_CAM_RES,A,Component,VA-03,CDR,Verified by analysis,"Computed pixels-on-target >= 4 px in each dimension for a 0.5 m x 0.5 m target at 90 m AGL. T13 (640x512, 12 um, 18 mm) yields 8.33 px - 108 percent margin."
R3_CAM_WT,I,Component,VI-02,P2,Planned,"Measured mass of camera core + 18 mm lens + housing + USB cable <= 200 g on a calibrated scale. Modeled at 21 g; 18 mm lens mass still to be confirmed (TASKS 2.1)."
R4,I,System,"VI-01, VA-08",CDR,Verified by inspection,"As-purchased integrated-system BOM total (excluding the existing laptop and the reusable charger / development packs) <= 2500 USD. Current committed Phases 1-3 total ~1898 USD - 24 percent margin."
R4_AF_ASSY,I,Subsystem,VI-03,P1,Planned,"Build inspection records <= 2 hand-made solder joints in the committed build; every other connection is plug-in, screw-terminal or factory pre-soldered. Each joint enumerated with justification."
R4_AF_COST,I,Subsystem,"VI-01, VA-08",CDR,Verified by inspection,"Airframe subsystem as-purchased cost, summed into the BOM, keeps the R4 system total <= 2500 USD. AF3a = 490.99 USD all-in (incl. bundled GPS/VTX/FPV cam/props and shipping)."
R4_AF_LANDING,I,Subsystem,VI-04,P2,Planned,"Measured vertical clearance from the lowest payload point (thermal lens tip) to the ground plane at rest >= 30 mm, with the aircraft at as-built AUW on level ground. NOTE: the v1 nose mount puts the lens tip ~31 mm below the plate - margin is ~1 mm and must be measured, not assumed (TASKS 2.7)."
R4_AF_PAYLOAD,"I, A",Subsystem,"VA-05, VI-02",P2,Analysis complete · inspection planned,"As-built all-up mass <= the airframe's rated payload capacity with the full payload fitted; measured AUW recorded and compared against the modeled value within +/- 5 percent."
R4_AF_PROP_CFG,A,Subsystem,"VA-01, VI-04",CDR,Verified by analysis,"The selected motor/prop combination (XING-E 2809 800KV, HQ 9X4X3) supports the R6 endurance floor at the R2 cruise speed per the momentum-theory endurance model, and the prop mounting pattern matches the frame."
R4_AF_PWR_DIST,I,Subsystem,"VI-05, VA-06",P1,Planned,"Wiring inspection confirms: ESCs on unfiltered pack voltage; SBC on regulated 12 V from the UBEC (jumper verified on 12 V before first connection); peripherals on the FC 5 V rail. Measured rail voltages within +/- 5 percent of nominal under load."
R4_AF_STIFF,"A, T",Subsystem,"VF-09, VA-05",P2,Planned,"In-flight ArduPilot VIBE logs stay below 30 m/s^2 on all axes through cruise, and thermal frames captured in flight show no vibration blur that reduces measured pixels-on-target below the R3_CAM_RES floor."
R4_AF_WT,"I, A",Subsystem,"VA-05, VI-02",P2,Analysis complete · inspection planned,"Measured total takeoff mass <= 80 percent of the airframe's rated maximum takeoff mass, at as-built AUW with the full Phase-2 payload."
R4_BAT_COST,I,Subsystem,"VI-01, VA-08",CDR,Verified by inspection,"Battery cost, summed into the BOM, keeps the R4 system total <= 2500 USD. BAT10 = 275.00 USD."
R4_BAT_DISCHARGE,T,Subsystem,VB-04,P1,Planned,"At the measured maximum system current draw, pack terminal voltage stays above the ESC low-voltage cutoff with sag <= 0.3 V/cell, logged over a full discharge to the BATT_LOW_MAH trigger."
R4_BAT_ENERGY,"A, T",Subsystem,"VA-01, VF-01",P1,Analysis complete · test planned,"Usable pack energy (85 percent DoD of 932.16 kJ) exceeds the energy required for 1800 s at the modeled system power, and measured hover endurance is >= 30.0 min."
R4_BAT_ENERGY_STRETCH,A,Subsystem,VA-01,CDR,Not met (documented),"Usable pack energy sufficient for 3600 s of sustained hover. Reference build models 58.4 min cruise / below the 60 min hover floor - tracks the R8 stretch-goal shortfall; documented, not waived."
R4_BAT_IF,I,Subsystem,VI-04,P1,Planned,"XT60 pack lead mates with the airframe XT60 input through the anti-spark filter, and the pack physically seats in the battery bay with retention engaged. Measured pack envelope compared against the measured bay (modeled 110 x 35 x 65 mm - ESTIMATE, confirm at Phase 2)."
R4_BAT_VOLT,"I, A",Subsystem,"VI-05, VA-06",CDR,Verified by analysis,"Pack nominal voltage lies inside the input range of the FC, ESC and payload regulators. BAT10 6S 21.6 V nominal sits within the AF3a 6S-only rating (minCells_s = maxCells_s = 6) and the 2-6S UBEC input."
R4_BAT_WT,I,Subsystem,"VI-02, VA-05",P2,Planned,"Measured pack mass, combined with all other onboard subsystem masses, stays within the airframe payload capacity. BAT10 modeled at 919 g."
R4_GCS_BAT,T,Subsystem,VB-07,P1,Planned,"Laptop and hand-held transmitter each run continuously on internal battery for >= the maximum planned flight time (>= 60 min) with the full GCS software stack active, without external AC power."
R4_GCS_COST,I,Subsystem,"VI-01, VA-08",CDR,Verified by inspection,"GCS cost, summed into the BOM, keeps the R4 system total <= 2500 USD. GCS = TX12 MkII 117.93 + ELRS dongle 16.00 + VRX6 ~44.45 + patch 36.85; laptop existing at 0 USD."
R4_GCS_CTRL,T,System,VF-03,P1,Planned,"At 2800 m slant range: full control-channel authority retained on all axes, arming and flight-mode changes execute, and stick-to-response latency measured <= 100 ms with no failsafe trigger."
R4_GCS_IF,I,Subsystem,VI-07,CDR,Verified by inspection,"GCS receive/transmit bands and protocols match the airborne equipment: ELRS 2.4 GHz control+telemetry to the iFlight True Diversity RX, and 5.8 GHz analog CVBS to the Skydroid VRX6."
R4_GCS_RANGE,"A, T",System,"VA-02, VF-03",P1,Analysis complete · test planned,"Control link maintained at >= 2800 m slant range under clear line-of-sight with >= 10 dB fade margin and <= 1 percent packet loss over a 5 min hold; no failsafe trigger. Analysis basis: FSPL link budget."
R4_GCS_SWEEP_SPACING,D,System,VF-05,P1,Planned,"A survey grid planned in QGroundControl generates across-track line spacing <= 0.9 x (2 x altitude x tan(HFOV/2)) at the planned altitude, giving >= 10 percent side overlap. Verified by reading back the generated waypoints."
R4_GCS_TELEM,D,System,VF-06,P1,Planned,"Altitude, position, battery voltage, heading and ground speed are all displayed and refreshing at >= 1 Hz on the GCS at 2800 m range, with no field stale for > 3 s."
R4_GCS_VIDEO_DISP,D,System,VF-10,P4,Deferred (Phase 4),"Operator can perform R3_1 detection and R3_2 classification from the ground display. Deferred: the committed Phase 1-3 build has no thermal downlink, so this is unverifiable until the Phase 4 OpenHD capability is built."
R4_GCS_WT,I,Subsystem,VI-09,P1,Planned,"Complete GCS kit (transmitter, laptop, antennas, receiver, cabling) is carried and operated by a single person in the field; total kit mass recorded."
R4_SBC_COST,I,Component,"VI-01, VA-08",CDR,Verified by inspection,"As-purchased SBC cost <= 150 USD. SBC3 NanoPi M5 4 GB = 126.00 USD - 16 percent margin."
R4_SBC_DATA_AF,D,Subsystem,VB-05,P3,Planned,"SBC and flight controller exchange MAVLink2 over UART with >= 99 percent message delivery over a 30 min run, including heartbeat, telemetry read and a GUIDED-mode setpoint write acknowledged by the FC."
R4_SBC_PWR,T,Component,"VB-02, VB-03",P2,Planned,"Measured average input power <= 10 W over >= 30 min running the production INT8 inference model at the operational frame rate, logged with an inline power meter at 1 Hz. RUN JOINTLY WITH VB-03: the 10 W figure in candidates.sysml is this requirement's cap, not a measurement (FriendlyElec publishes no power data for the M5), so the same run must log input power and the RK3576 on-die junction temperature together - that pair measures the heat load and the as-built assembly's thermal resistance at once and retires the modeling assumptions in analysis/sbc_thermal_analysis.md. Deduct the ~0.8 W exported to the T13 over USB to get board heat."
R4_SBC_TEMP,"A, T",Component,"VA-09, VB-03",P2,Analysis complete · restatement required,"SoC junction stays >= 10 degC below the 85 degC Rockchip DVFS trip at sustained 10 W inference load over 30 min: (a) in flight, passively, on rotor inflow, at ambient up to 40 degC; (b) on the ground with the deck fan running. Per analysis/sbc_thermal_analysis.md the flight case passes passively (79 degC at the conservative 0.98 m/s inflow estimate) but the still-air ground case does not (117 degC on a 35 degC pad in sun) - so the fan is ground-support, not flight-critical. Conditional on the full-board light-finish heatsink; the SoC-sized sink fails every case. BLOCKED: the requirement text still says 'without active cooling' and defines no environmental range - restatement proposed in the analysis."
R4_SBC_VIDEO_IN,D,Component,VB-01,P2,Planned,"The SBC accepts the T13 output in its native format: USB-UVC enumeration at 640x512, >= 25 Hz, sustained >= 30 min with no format negotiation failure."
R4_SBC_VIDEO_PROC,T,System,VB-08,P4,Deferred (Phase 4),"End-to-end glass-to-glass latency does not degrade operator detection/classification per R3_1 and R3_2. Deferred: applies only to the Phase 4 downlink path; the committed build runs inference onboard with no operator-in-the-loop video."
R4_SBC_WT,I,Component,VI-02,P2,Planned,"Measured mass of the SBC board + cabling + printed deck + fan <= 100 g on a calibrated scale."
R5,I,System,VI-03,P1,Planned,"Design and build inspection confirms the committed build is assembled from PNP/pre-soldered parts with <= 2 hand-made solder joints (currently: the UBEC 12 V leads to the USB-C pigtail), each enumerated and justified."
R6,"A, T",System,"VA-01, VF-01",P1,Analysis complete · test planned,"Measured hover endurance >= 30.0 min from full charge to the BATT_LOW_MAH = 700 mAh RTL trigger, in <= 1 m/s wind at as-built AUW, and the endurance model correlates to the measured hover current within +/- 15 percent."
R6_BHV_RTL_RESERVE,"A, D",System,"VA-07, VF-04",P1,Analysis complete · demo planned,"RTL is commanded automatically when usable energy reaches the 700 mAh reserve, and the vehicle returns from the R7 worst-case 2.8 km and lands with >= 145 mAh usable energy remaining (26 percent over the 555 mAh bare-RTL cost at RTL_SPEED = 12 m/s). NOTE: the 30 percent design margin computes to 722 mAh; the set value is rounded down to 700, so the achieved margin is 26 percent - the requirement text's '30 percent' is the pre-rounding intent."
R6_FS_BATT,"I, D",Subsystem,"VI-08, VB-06",P1,Planned,"FC parameters read back equal to the specified set (BATT_LOW_MAH 700, BATT_CRT_MAH 350, BATT_LOW_VOLT 20.4, BATT_CRT_VOLT 19.2, BATT_FS_LOW_ACT 2, BATT_FS_CRT_ACT 1, BATT_MONITOR 4, RTL_SPEED 12), and a bench-injected low-battery condition triggers RTL then Land at the correct thresholds."
R7,"A, T",System,"VA-02, VF-03",P1,Analysis complete · test planned,"Surveillance maintained out to >= 2800 m linear distance at 2.2 m/s in sustained 4.5 m/s wind, with the control link held to the R4_GCS_RANGE margin and the vehicle recovered under its own power."
R7_BHV_LINKLOSS_RTL,D,System,VF-04,P1,Planned,"With the transmitter powered off mid-sortie, the vehicle commands RTL within the FC failsafe timeout and returns unaided - including when interrupted mid-investigation in GUIDED mode (unconditional abort)."
R7_FS_LINK,"I, D",Subsystem,"VI-08, VB-06",P1,Planned,"FC parameters read back equal to the specified set (FS_THR_ENABLE 1, FS_THR_VALUE 900, FS_OPTIONS 0), and a bench link-loss (transmitter powered off, props removed) triggers RTL with no continue-on-failsafe exception."
R8,A,System,"VA-01, VF-01",CDR,Not met (documented),"Modeled sustained hover endurance >= 60.0 min in zero wind. Reference build (Chimera9 ECO + BAT10) models 58.4 min cruise - short of the stretch goal. Documented as not met; R6 remains the governing floor."
R9,"A, D",System,"VA-04, VF-05",P1,Analysis complete · demo planned,"Computed contiguous covered area >= 30.0 acres (12.1 ha) at R1 altitude, R2 speed and a 20 percent reserve, and demonstrated by a planned QGroundControl survey grid whose coverage polygon meets the same floor. At the R6 30 min floor the model computes ~36.6 acres."
